ACCE_ABSORB_COST	Cena absorpce: %d
SKILL_PABEOP	Zrušit kouzlo
SKILL_POWERFUL_STRIKE	Omraèující útok
SKILL_SEOMGWANG	Blesková bomba
SKILL_SLEEP	Spánek
SKILL_SLOW	Pomalu
SKILL_STUN	Omráèit
SKILL_SUHO	Stráce
SKILL_SUMMON_DESCRIPTION	Šance zaøíkávání: %d%%
SKILL_TOOLTIP_INT	Inteligence
SKILL_TOOLTIP_LEVEL	Úroveò
SKILL_TOXICDIE	Otrávení
SKILL_TOXICPOWER	Hodnota útoku jedem zlepšena
SKILL_TUSOK	Rána ducha
STAT_MINUS_CON	Pøizpùsobení vitality (zbıvající šance: %d)
STAT_MINUS_DEX	Pøizpùsobení pohyblivosti (zbıvající šance: %d)
STAT_MINUS_INT	Pøizpùsobení inteligence (zbıvající šance: %d)
STAT_MINUS_STR	Pøizpùsobení síly (zbıvající šance: %d)
STAT_TOOLTIP_CON	ZB a obrana se zlepší
STAT_TOOLTIP_DEX	Útok a vyhıbání se zlepší
STAT_TOOLTIP_INT	Zvyšuje MB, útok magií a obranu
STAT_TOOLTIP_STR	Hodnota útoku a poškození se zlepší
SYMBOLLIST_TITLE	Nahlásit prapor cechu
SYSTEM_OPTION_CPU_TILING_1	Modus CPU-Tiling mùe zvıšit rychlost slabšího poèítaèe.
SYSTEM_OPTION_CPU_TILING_2	Pokud se vyskytují problémy s grafikou, zvol ,Nastavení systému‘ nebo ,CONFIG.exe‘
SYSTEM_OPTION_CPU_TILING_3	a pøepni do GPU-Tiling módu
SYSTEM_OPTION_GPU_TILING_1	Modus GPU-Tiling mùe na slabších poèítaèích bìet pomalu
SYSTEM_OPTION_GPU_TILING_2	Pokud se vyskytují problémy s grafikou, zvol ,Nastavení systému‘ nebo ,CONFIG.exe‘
SYSTEM_OPTION_GPU_TILING_3	a pøepni do módu CPU-Tiling
SYSTEM_OPTION_TILING_EXIT	Na zmìnu Tiling-módu musí hra bıt restartována.
TARGET_BUTTON_ACCEPT_FIGHT	Souhlasit
TARGET_BUTTON_AVENGE	Pomsta
TARGET_BUTTON_BLOCK	Blokovat
TARGET_BUTTON_BLOCK_REMOVE	Odblokovat
TARGET_BUTTON_BUILDING_DESTROY	Znièit
TARGET_BUTTON_DISMOUNT	Sesednout
TARGET_BUTTON_EMOTION_ALLOW	Emoce
TARGET_BUTTON_EXCHANGE	Obchodování
TARGET_BUTTON_EXCLUDE	Vylouèit
TARGET_BUTTON_EXIT_OBSERVER	Ukonèit diváckı modus
TARGET_BUTTON_FIGHT	Souboj
TARGET_BUTTON_FRIEND	Pøítel
TARGET_BUTTON_INVITE_GUILD	Pozvánka od cechu
TARGET_BUTTON_INVITE_PARTY	Pozvánka od skupiny
TARGET_BUTTON_LEAVE_PARTY	Opustit skupinu
TARGET_BUTTON_REQUEST_ENTER_PARTY	Pøistoupit ke skupinì
TARGET_BUTTON_VIEW_EQUIPMENT	Vızbroj
TARGET_BUTTON_WHISPER	Šeptat
TARGET_LEVEL_BOSS	Boss
TARGET_LEVEL_KING	Stupeò 5.
TARGET_LEVEL_KNIGHT	Stupeò 3.
TARGET_LEVEL_PAWN	Stupeò 1.
TARGET_LEVEL_S_KNIGHT	Stupeò 4.
TARGET_LEVEL_S_PAWN	Stupeò 2.
TARGET_TOOLTIP_ATTACK_COUNT	Celkové zásahy: %d
TASKBAR_ATTACK	Zaútoèit
TASKBAR_AUTO	Útoèit automaticky
TASKBAR_CAMERA	Kamera
TASKBAR_EXP	Zkušenost
TASKBAR_HP	ZB
TASKBAR_MOVE	Pohybovat
TASKBAR_SKILL	Schopnost
TASKBAR_SP	MB
TASKBAR_ST	VB
TENTH_COIN	Vıroèní mince
TENTH_EVENT_ASK_EXCHANGE	Potøebuješ %d Vıroèních vlajek. Pøeješ si pokraèovat?
THING_COUNT	všichni
TOOLTIP_AFFECT_POLYMORPH	Transformovat	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Odolnost proti kritickım zásahùm +%d%% 	SA
TOOLTIP_ANTI_PENETRATE_PCT	Odolnost proti pronikavım zásahùm +%d%% 	SA
TOOLTIP_ANTI_SELL	Nemùe se prodávat v obchodì.
APPLY_ACCEDRAIN_RATE	Absorpèní pomìr: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Silnı proti zvíøatùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Silnı proti ninjùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Silnı proti ïáblu +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Silnı proti pololidem +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Silnı proti ezoterikùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Silnı proti pøíšerám +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Silnı proti Orkùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Silnı proti šamanùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Silnı proti surùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Silnı proti nemrtvım +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Silnı proti váleèníkùm +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Silnı proti Lycanùm + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Krvácivı útok + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Odolnost proti krvácivım útokùm + %d%%	SA
TOOLTIP_APPLY_BLOCK	Šance odvrátit tìlesnı útok %d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Kadıch 5 sek. obnovit MB v boji %d	SA
TOOLTIP_APPLY_CRITICAL_PCT	+%d%% šance na kritickı zásah	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% šance dostat pøi zásahu MB nazpìt	SA
TOOLTIP_APPLY_DODGE	%d%% šance vyhnout se šípùm	SA
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% šance na bonus BZK	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% šance pustit dvojnásobek Yangù	SA
TOOLTIP_APPLY_IMMUNE_FALL	Imunní proti pádùm	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Ochrana proti zpomalení	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Ochrana proti bezvìdomí	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% šance, nechat dvojnásobnì spadnout pøedmìty	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% šance obnovit ZB	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% šance obnovit MB	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% šance pøevzít soupeøovy MB	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. ZB +%d%% 	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. MB +%d%% 	SA
TOOLTIP_APPLY_NOAFFECT	ádné následky
TOOLTIP_APPLY_NO_DEATH_PENALTY	Neztratíš ádné zkušenostní body, pokud bude tvá postava oivena na místì, kde zemøela.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	+%d%% šance na pronikavı zásah	SA
TOOLTIP_APPLY_POISON_PCT	Šance na otrávení: %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Odolnost vùèi jedu %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Lektvar %d%% nárùst efektu	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% šance odrazit kletbu	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% šance odrazit pøímı tìlesnı útok	SA
TOOLTIP_APPLY_RESIST_ASSASSIN	Šance na obranu proti útokùm ninjù %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Obrana proti zvonùm %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Obrana proti èelistem  + %d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Obrana proti dıkám %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Obrana proti vìjíøùm %d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Šance ubránit se proti útokùm šamanù %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Šance na obranu proti útokùm surù %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Obrana proti meèùm %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Obrana proti obouruèním meèùm %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Šance na obranu proti útokùm váleèníkù %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Odolnost proti vìtru %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Obrana proti útokùm Lycanù %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Šance pøi uèení z knih je zlepšena o faktor 2,5	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Pokud se uèení nezdaøí, mùeš hned èíst ještì jednou.	SNA
TOOLTIP_APPLY_SLOW_PCT	Šance na zpomalení: %d%%	SA
TOOLTIP_APPLY_STEAL_HP	Poškození %d%% je absorbováno ZB.	SA
TOOLTIP_APPLY_STEAL_SP	Poškození %d%% je absorbováno MB.	SA
TOOLTIP_APPLY_STUN_PCT	Šance na bezvìdomí: %d%%	SA
TOOLTIP_ARMOR	Brnìní
TOOLTIP_ARROW	Šíp
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATT_GRADE	Hodnota útoku +%d	SA
TOOLTIP_ATT_SPEED	Rychlost útoku +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Rychlost útoku omezena	SNA
TOOLTIP_AUTO_POTION_HP	Elixír Slunce
TOOLTIP_AUTO_POTION_REST	Zbıvá: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elixír Mìsíce
TOOLTIP_AUTO_POTION_USING	Aktivní
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Automatickı lov	SNA
TOOLTIP_BATTLE_POTION	Váleènı lektvar bitevní zóny	SNA
TOOLTIP_BOW_DISTANCE	Dosah luku +%dm	SA
TOOLTIP_BUYPRICE	Cena: %s
TOOLTIP_CAST_SPEED	Rychlost kouzla +%d%%	SA
TOOLTIP_CON	Vitalita +%d	SA
TOOLTIP_COSTUME_ATTR_BONUS	Bonus za kostım %d%%	SA
TOOLTIP_DEF_GRADE	Obrana +%d	SA
TOOLTIP_DEX	Pohyblivost +%d	SA
TOOLTIP_DRAGON_SOUL_DECK1	Zemì	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Nebesa	SNA
TOOLTIP_EAR	Náušnice
TOOLTIP_ENERGY	Energie %d	SA
TOOLTIP_ETC	atd.
TOOLTIP_EXP_BONUS_EVENT	BZK +%d%%	SA
TOOLTIP_FISHINGROD_EXP	Body: %d / %d
TOOLTIP_FISHINGROD_LEVEL	Úroveò: %d
TOOLTIP_FISHINGROD_UPGRADE1	Dát rybáøovi
TOOLTIP_FISHINGROD_UPGRADE2	abys dostal
TOOLTIP_FISHINGROD_UPGRADE3	zlepšenou udici
TOOLTIP_FISH_LEN	Délka: %.2fcm
TOOLTIP_GUILD_SKILL_ACCEL	Zrychlení +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Poehnání draèího boha +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Krev draèího boha +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Hnìv draèího boha +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Pomoc ke kouzlu +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Svatá vızbroj +%d	SA
TOOLTIP_HELMET	Pøílba
TOOLTIP_HP_REGEN	Obnovení ZB +%d%%	SA
TOOLTIP_INT	Inteligence +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Hodnota útoku %d
TOOLTIP_ITEM_ATT_POWER	Hodnota útoku %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Hodnota útoku %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Hodnota útoku %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Rychlost útoku %s
TOOLTIP_ITEM_DEF_GRADE	Obrana %d
TOOLTIP_ITEM_FAST	Rychle
TOOLTIP_ITEM_LIMIT_CON	Horní hranice vitality: %d
TOOLTIP_ITEM_LIMIT_DEX	Horní hranice pohyblivosti: %d
TOOLTIP_ITEM_LIMIT_INT	Horní hranice inteligence: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Od úrovnì: %d
TOOLTIP_ITEM_LIMIT_STR	Horní hranice síly: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Magická hodnota útoku %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Magická hodnota útoku %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Magická obrana %d
TOOLTIP_ITEM_NORMAL	Normální
TOOLTIP_ITEM_SLOW	Pomalu
TOOLTIP_ITEM_VERY_FAST	Velmi rychle
TOOLTIP_ITEM_VERY_SLOW	Velmi pomalu
TOOLTIP_ITEM_WEARABLE_JOB	[ Lze vyzbrojit ]
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Šastné èíslo: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Magickı útok +%d%% 	SA
TOOLTIP_MAGIC_ATT_GRADE	Magická hodnota útoku +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Magická obrana +%d	SA
TOOLTIP_MALL_ATTBONUS	Hodnota útoku  +%d%%	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Hodnota útoku	SNA
TOOLTIP_MALL_AUTOLOOT	Yangy se automaticky sesbírají.	SNA
TOOLTIP_MALL_DEFBONUS	Obrana +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Obrana 	SNA
TOOLTIP_MALL_EXPBONUS	BZK +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	iCafe bonus BZK +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	O 50 % víc BZK	SNA
TOOLTIP_MALL_FISH_MIND	Šance ulovit rybu je zvıšena.	SNA
TOOLTIP_MALL_GOLDBONUS	Šance na spadlé Yangy (%.1f)	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Zdvojnásobí šanci na spadnutí Yangù	SNA
TOOLTIP_MALL_ITEMBONUS	Šance ukoøistit pøedmìty (%.1f)	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe šance ukoøistit pøedmìty plus %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Zdvojnásobí šanci ukoøistit pøedmìty	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Body za lásku narùstají rychleji.	SNA
TOOLTIP_MALL_SAFEBOX	Na skladì je k dispozici více místa.	SNA
TOOLTIP_MAX_HP	Max. ZB +%d	SA
TOOLTIP_MAX_HP_PCT	Max. ZB +%d%%	SA
TOOLTIP_MAX_SP	Max. MB +%d	SA
TOOLTIP_MAX_SP_PCT	Max. MB +%d%%	SA
TOOLTIP_MAX_STAMINA	Max. vytrvalost +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Magickı útok/útok zbraní  +%d%% 	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	Chyba v GPS(%d, %d)
TOOLTIP_MOV_SPEED	Rychlost pohybu %d%%	SA
TOOLTIP_NECK	Náhrdelník
TOOLTIP_NEED_ALL_SP	Potøebné MB: max.
TOOLTIP_NEED_GSP	Potøebnı draèí duch: %d
TOOLTIP_NEED_HP	Potøebné ZB: %d
TOOLTIP_NEED_HP_PER_SEC	ZB / sek:  %d
TOOLTIP_NEED_SKILL_POINT	Potøebné SB:
TOOLTIP_NEED_SP	Potøebné MB: %d
TOOLTIP_NEED_SP_PER_SEC	MB / sek:  %d
TOOLTIP_NEXT_SKILL_LEVEL_1	Pøíští úroveò: %d (max. %d)
TOOLTIP_NEXT_SKILL_LEVEL_2	Pøíští úroveò: %d (max. %d-%d)
TOOLTIP_NORMAL_HIT_DAMAGE_BONUS	Prùmìrná škoda %d%%	SA
TOOLTIP_NORMAL_HIT_DEFEND_BONUS	Prùmìrná odolnost proti škodì %d%%	SA
TOOLTIP_PARTY_INFO_GRADE_UP1	Více ne %d èlenù skupiny
TOOLTIP_PARTY_INFO_GRADE_UP2	Stupeò útoku +%d
TOOLTIP_PARTY_INFO_GRADE_UP3	Stupeò obrany +%d
TOOLTIP_PARTY_INFO_HEAL_18_LEVEL	Obnovit jednou za 60 min. ZB/MB všech èlenù skupiny.
TOOLTIP_PARTY_INFO_HEAL_40_LEVEL	Jednou za 30 min. obnovit ZB/MB všech èlenù skupiny.
TOOLTIP_PARTY_INFO_RECALL_12_LEVEL	Musíš poèkat tøi minuty po smrti èlenu skupiny.
TOOLTIP_PARTY_INFO_RECALL_20_LEVEL	Mùeš kdykoliv zavolat k sobì èleny skupiny na stejném serveru.
TOOLTIP_PARTY_INFO_SET_ATTACKER	Stupeò útoku +(poèet èlenù skupiny/2) Lze zvolit útoèníky %d.
TOOLTIP_PARTY_INFO_SET_TANKER	Stupeò obrany +(poèet èlenù skupiny). Lze zvolit bojovníky zblízka 1.
TOOLTIP_PARTY_SKILL_LEVEL	Aktuální úroveò: %d
TOOLTIP_PARTY_TITLE_GRADE_UP	[Útok/obrana zlepšen(a)]
TOOLTIP_PARTY_TITLE_HEAL	[Obnovit]
TOOLTIP_PARTY_TITLE_INFO_BONUS_EXP	Pokud máš více ne %d èlenù skupiny, obdríš bonusové BZK %d%%.
TOOLTIP_PARTY_TITLE_MEMBER_BONUS_EXP	[Bonusové BZK]
TOOLTIP_PARTY_TITLE_RECALL	[Pøivolat]
TOOLTIP_PARTY_TITLE_SET_ATTACKER	[Urèit útoèníky]
TOOLTIP_PARTY_TITLE_SET_TANKER	[Urèit bojovníky zblízka]
TOOLTIP_PEPSI_EVENT	Bonus 5 % BZK a o 5 % vyšší šance na padnutí pøedmìtu.	SNA
TOOLTIP_PICK_EXP	Body: %d / %d
TOOLTIP_PICK_LEVEL	Úroveò: %d
TOOLTIP_PICK_UPGRADE1	Dát døevorubci
TOOLTIP_PICK_UPGRADE2	abys dostal lepší
TOOLTIP_PICK_UPGRADE3	kopáè.
TOOLTIP_POTION_CURE	Dát negativní efekty do pùvodního stavu.
TOOLTIP_POTION_MIN	min.
TOOLTIP_POTION_PLUS_ATTACK_SPEED	Rychlost útoku: +%d
TOOLTIP_POTION_PLUS_HP_PERCENT	ZB: +%d%%
TOOLTIP_POTION_PLUS_HP_POINT	ZB: +%d
TOOLTIP_POTION_PLUS_MOVING_SPEED	Rychlost pohybu: +%d
TOOLTIP_POTION_PLUS_SP_PERCENT	MB: +%d%%
TOOLTIP_POTION_PLUS_SP_POINT	MB: +%d
TOOLTIP_POTION_SEC	sek.
TOOLTIP_POTION_TIME	Doba:
TOOLTIP_REQUIREMENT_21_LEVEL	Musíš nejdøív dosáhnout úrovnì 21
TOOLTIP_REQUIREMENT_41_LEVEL	Musíš nejdøív dosáhnout úrovnì 41
TOOLTIP_REQUIREMENT_LEVEL	Musíš nejdøív dosáhnout úrovnì %d
TOOLTIP_REQUIREMENT_SKILL_LEVEL	Je zapotøebí %s úroveò %d
TOOLTIP_REQUIREMENT_STAT_LEVEL	Je zapotøebí %s %d
TOOLTIP_RESIST_BOW	Odolnost proti šípùm %d%%	SA
TOOLTIP_RESIST_DARK	Odolnost vùèi temnotì +%d%% 	SA
TOOLTIP_RESIST_EARTH	Odolnost Zemi +%d%% 	SA
TOOLTIP_RESIST_ELEC	Odolnost proti blesku %d%%	SA
TOOLTIP_RESIST_FIRE	Odolnost proti ohni %d%%	SA
TOOLTIP_RESIST_ICE	Odolnost ledu +%d%% 	SA
TOOLTIP_RESIST_MAGIC	Odolnost proti magii %d%%	SA
TOOLTIP_RESIST_MAGIC_REDUCTION	Prùnik kouzla %d%%	SA
TOOLTIP_REST_USABLE_COUNT	Zbıvá: %d
TOOLTIP_SEALED	Duševní pouto
TOOLTIP_SELLPRICE	Cena: %s
TOOLTIP_SET_ITEM	Nastavit bonus	SNA
TOOLTIP_SHAMAN	Šaman
TOOLTIP_SHIELD	Štít
TOOLTIP_SHOES	Boty
TOOLTIP_SKILL	Schopnost	SNA
TOOLTIP_SKILLBOOK_NAME	Kniha schopností
TOOLTIP_SKILL_AFFECT_ATT_GRADE	Hodnota útoku: +
TOOLTIP_SKILL_AFFECT_ATT_POWER	Hodnota útoku:
TOOLTIP_SKILL_AFFECT_ATT_SPEED	Rychlost útoku: +
TOOLTIP_SKILL_AFFECT_DEF_GRADE	Obrana:
TOOLTIP_SKILL_AFFECT_DODGE	Soupeøova hodnota útoku:
TOOLTIP_SKILL_AFFECT_HEAL	Obnovit ZB:
TOOLTIP_SKILL_AFFECT_MOV_SPEED	Rychlost pohybu: +
TOOLTIP_SKILL_AFFECT_REFLECT_MELEE	Šance odrazit tìlesnı útok:
TOOLTIP_SKILL_AFFECT_RESIST_NORMAL	Odolnost proti tìlesné újmì:
TOOLTIP_SKILL_COOL_TIME	Doba nabíjení:
TOOLTIP_SKILL_DAMAGE_BONUS	Poškození schopností: %d%%	SA
TOOLTIP_SKILL_DEFEND_BONUS	Odolnost proti poškození schopností %d%%	SA
TOOLTIP_SKILL_DURATION	Doba: %d sek.
TOOLTIP_SKILL_FORGET_BOOK_NAME	Kniha zapomnìní
TOOLTIP_SKILL_LEVEL	Aktuální úroveò: %d
TOOLTIP_SKILL_LEVEL_MASTER	Aktuální úroveò: %d (mistr)
TOOLTIP_SKILL_LEVEL_WITH_MAX	Aktuální úroveò: %d (max. %d)
TOOLTIP_SOCKET_EMPTY	Prázdnı
TOOLTIP_SOCKET_REFINABLE_ITEM	[Pøedmìt s úchytem]
TOOLTIP_SP_REGEN	Obnovení MB +%d%%	SA
TOOLTIP_STR	Síla +%d	SA
TOOLTIP_SURA	Sura
TOOLTIP_TIME_CHARGER_FIX	Èas nabíjení %d vteøin. 	SA
TOOLTIP_TIME_CHARGER_PER	Èas nabíjení %d%%	SA
TOOLTIP_UNIQUE	Jedineènı
TOOLTIP_UNSEAL_LEFT_TIME	Zrušení duševního pouta za: %dH %dM
TOOLTIP_WARRIOR	Váleèník
TOOLTIP_WEAPON	Zbraò
TOOLTIP_WOLFMAN	Lycan
TOOLTIP_WRISTLET	Náramek
UI_ACCEPT	Pøijmout
UI_BOLD_FONT	Tahoma:12b
UI_CANCEL	Zrušit
UI_CLOSE	Zavøít
UI_DEF_FONT	Tahoma:12
UI_DEF_FONT_LARGE	Tahoma:14
UI_DEF_FONT_SMALL	Tahoma:9
UI_DENY	Odmítnout
UI_ITEM	Pøedmìt
UI_LEFT_TIME	Zbıvající èas: %d sek.
UI_NEXT	Dále
UI_NEXTPAGE	Další
UI_NOCONTENTS	Bez obsahu
UI_NONAME	Chybí jméno	
UI_OK	OK
UI_POS_UNKNOWN	Neznámé místo
UI_PREVPAGE	zpìt
UI_UNKNOWN	Neznámı
UPDATE_TIME	Datum
UPLOAD_MARK_CHECK_NEED_RECONNECT	Upload musí bıt proveden ještì jednou
UPLOAD_MARK_UPLOAD_NEED_RECONNECT	Upload musí bıt proveden ještì jednou
USE_ITEM_FAILURE_PRIVATE_SHOP	Pokud jsi otevøel soukromı stánek, nemùeš pouít tento pøedmìt.
USE_SKILL_ERROR_UNKNOWN	Neznámá chyba v schopnostech: %s
TARGET_INFO_DAMAGE	Damage : %s - %s
TARGET_INFO_DEFENSE	Defence : %s
TARGET_INFO_EXP	Expierence : %s
TARGET_INFO_MAINRACE	Rasa : %s
TARGET_INFO_MAX_HP	Max. ZB : %s
TARGET_INFO_NO_ITEM_TEXT	Pøišera u sebe nemá ádnı pøedmìt.
TARGET_INFO_NO_RACE	Neznámá
TARGET_INFO_RACE_METIN	Šutr
TARGET_INFO_RACE_ANIMAL	Zvíøe
TARGET_INFO_RACE_DARK	Temnota
TARGET_INFO_RACE_DEVIL	ïábel
TARGET_INFO_RACE_EARTH	Zemì
TARGET_INFO_RACE_ELEC	Blesk 
TARGET_INFO_RACE_FIRE	oheò
TARGET_INFO_RACE_HUMAN	Pololidi
TARGET_INFO_RACE_ICE	Led
TARGET_INFO_RACE_MILGYO	Magie 
TARGET_INFO_RACE_ORC	Ork
TARGET_INFO_RACE_UNDEAD	Neucmrcenı
TARGET_INFO_RACE_WIND	Vítr
TARGET_INFO_STONE_NAME	Ghoststone
TARGET_INFO_SUBRACE	Odolnost : %s
LOCALIZATION_TITLE	Systém ukládání pozice
LOCALIZATION_DESC_BTN_EDIT	Zmìnit jméno pozice
LOCALIZATION_SAVE	Uloit
LOCALIZATION_TELEPORT	Teleportovat
LOCALIZATION_EDIT	Upravit
LOCALIZATION_CANCEL	Cancel
LOCALIZATION_CHANGE_NAME	Nastavení jména pozice
LOCALIZATION_CURRENT_LINE	Zadejte jméno:
LOCALIZATION_HORIZONTALBAR_1	Uloené pozice
LOCALIZATION_HORIZONTALBAR_2	Monosti
ACCE_REFINE_COST	Cena: %d
ACCE_ABSORB_CHANCE	Absorbaèní pomìr: %d%%
ACCE_ABSORB_CHANCE2	Absorbaèní pomìr: %d%% ~ %d%%
ACCE_DO_YOU_CLEAN	Chceš dostranit všechny bonusy?
ACCE_FAILURE_CLEAN	No bonuses can be taken away.
ACCE_DEL_SERVEITEM	Šerpa se mùeš znièit!
ACCE_DEL_ABSORDITEM	Ujisti se e dáváš do šerpy správnı pøedmìt.
REFINE_ERROR_ADD_PERC_STONES	[Refine] You can't add potion for increase succes percentage of stones.
REFINE_COST_UPGRADE	[i] Costs of improving
REFINE_CURRENT_ITEM	[i] Current item
REFINE_NEXT_ITEM	[i] Next item
REFINE_NEED_ITEMS	[i] Items required for upgrade
REFINE_PERCENTAGE_LOW	+5%
REFINE_PERCENTAGE_MEDIUM	+10%
REFINE_PERCENTAGE_EXTRA	+15%
REFINE_CURRENT_PERCENTAGE	   Šance na vylepšení: %d%%
REFINE_INCREASE_PERCENTAGE	[Extra + %d%%]
REFINE_TOOLTIP_ITEM_DESCRIPTION_1	Metin2 is a gambling game. Almost everything on the game is a matter of luck and percentages.
REFINE_TOOLTIP_ITEM_DESCRIPTION_2	The biggest example of this is indeed the upgrade system. I don't think there isn't a player who did not feel at least once, frustrated from the failure of his sword or armor or accessory.
REFINE_TOOLTIP_ITEM_DESCRIPTION_3	Even thou this is not as bad as elsewhere, as you have blacksmith's memo, wiseman memo and the rare Blacksmith Diamond, we created a new system that will allow you to gamble more, but with better results.
REFINE_TOOLTIP_ITEM_DESCRIPTION_4	This potion will be able to increase your percentage of upgrade item with +%d%%.
REFINE_ERROR_ITEM_VNUM	[Refine] You can't add this item.
REFINE_ERROR_ITEM_COUNT	[Refine] You can add only 1 count, no more.
REFINE_ERROR_ITEM_OVERFLOW_PERCENTAGE	[Refine] Percentage total is above 100, you can't do that.
PROFILE_SELECT_DEFAULT	--
PROFILE_MAIN_NAME	Character name: |cFFdda804%s
CONTACT_MEMBERS_ONLINE	online: %d
CONTACT_MEMBERS_OFFLINE	offline: %d
BANK_TOOLTIP_BTN_ADD	Add money in bank.
BANK_TOOLTIP_BTN_WITHDRAW	Withdraw money from bank.
BANK_TOOLTIP_BTN_SEND	Send money for other account.
BANK_TOOLTIP_BTN_CHANGE	Change password on account.
BANK_CURRENT_PAGE	Page: [%s - %d]
BANK_TITLE_NAME	Manager Bank System - [i] Last 1025 logs
BANK_CONECTING_DIALOG	You will be connected to the bank...
BANK_APPEND_LOG_ADD	Added
BANK_APPEND_LOG_WITHDRAW	Withdraw
